code_block_id,filename
script-1-integrated-catch-up-pass,script-1-integrated-catch-up-pass.py
script-2-validation-hardening-pass,script-2-validation-hardening-pass.py
project-current-state-report,project-current-state-report.md
project-full-report-report,project-full-report-report.md
docx-final-review-form,docx-final-review-form.md
docx-short-release-form,docx-short-release-form.md
powerpoint-to-word-decision-matrix,powerpoint-to-word-decision-matrix.md
normalized-workflow-manifest-schema,normalized-workflow-manifest-schema.json
minimal-valid-example-manifest,minimal-valid-example-manifest.json
invalid-example-manifest,invalid-example-manifest.json
manifest-field-dictionary,manifest-field-dictionary.md
normalized-workflow-architecture,normalized-workflow-architecture.txt
source-side-technical-layer,source-side-technical-layer.json
authoritative-normalized-workflow-json,authoritative-normalized-workflow-json.json
normalized-workflow-yaml-mirror,normalized-workflow-yaml-mirror.yaml
normalized-workflow-markdown-view,normalized-workflow-markdown-view.md
wordprocessingml-target-projection-layer,wordprocessingml-target-projection-layer.json
